City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,Grytviken,-54.2811,-36.5092,274.46,98,100,5.56,GS,1689961270
148,Adamstown,-25.066,-130.1015,294.01,70,41,13.82,PN,1689961772
149,Papatowai,-46.5619,169.4708,278.58,76,6,6.17,NZ,1689961559
150,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
151,Iskateley,67.6803,53.1512,284.54,89,80,7.08,RU,1689961283
152,Edinburgh Of The Seven Seas,-37.0676,-12.3116,285.19,60,100,7.79,SH,1689961178
153,Vilyuysk,63.7553,121.6247,284.92,83,1,1.15,RU,1689961278
154,Santa Marta,11.2408,-74.199,306.18,62,20,3.09,CO,1689961081
155,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
156,Trincomalee,8.5711,81.2335,300.79,75,100,9.68,LK,1689961790
157,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
158,Silver Springs,29.1044,-82.0206,308.67,66,9,1.34,US,1689961284
159,Sur,22.5667,59.5289,303.56,73,99,8.23,OM,1689961284
160,Dudinka,69.4058,86.1778,294.05,66,100,4.3,RU,1689961284
161,Iqaluit,63.7506,-68.5145,280.0,87,75,3.6,CA,1689961284
162,Margaret River,-33.95,115.0667,286.67,66,2,2.05,AU,1689961770
163,Blackmans Bay,-43.0167,147.3167,280.11,88,34,2.9,AU,1689961279
164,Santa Ana,33.7456,-117.8678,309.49,76,75,7.2,US,1689961159
165,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
166,Guangyuan,32.442,105.823,297.02,96,8,0.84,CN,1689961285
167,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
168,Port Lincoln,-34.7333,135.8667,285.9,74,100,5.73,AU,1689961210
169,Mili,6.0815,171.735,300.98,83,100,8.3,MH,1689961274
170,Margaret River,-33.95,115.0667,286.67,66,2,2.05,AU,1689961770
171,Hamilton,39.1834,-84.5333,300.49,62,20,4.63,US,1689961272
172,Sal Rei,16.1833,-22.9167,303.26,62,40,6.17,CV,1689961286
173,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
174,Itoman,26.1247,127.6694,302.16,79,76,3.09,JP,1689961286
175,Port Alfred,-33.5906,26.891,289.82,62,51,6.86,ZA,1689961558
176,Margaret River,-33.95,115.0667,286.67,66,2,2.05,AU,1689961770
177,Hithadhoo,-0.6,73.0833,301.31,78,90,5.1,MV,1689961317
178,Ende,-8.8432,121.6623,294.97,91,15,2.09,ID,1689961286
179,West Island,-12.1568,96.8225,298.14,78,40,7.2,CC,1689961286
180,Stanley,54.868,-1.6985,287.48,86,40,1.03,GB,1689961277
181,Xiongzhou,25.1167,114.3,299.56,87,100,1.52,CN,1689961287
182,Jose Bonifacio,-21.0528,-49.6883,300.74,29,0,4.7,BR,1689961287
183,Kununurra,-15.7667,128.7333,289.14,82,6,0.0,AU,1689961288
184,Sevsk,52.1491,34.4926,288.33,79,65,2.94,RU,1689961288
185,Tarawa,1.419,172.984,299.2,94,75,1.03,KI,1689961288
186,Fort Bragg,35.139,-79.006,307.23,50,20,6.69,US,1689961115
187,Rongelap,11.1635,166.8941,301.35,79,59,8.16,MH,1689961278
188,Qaqortoq,60.7167,-46.0333,278.29,97,92,3.3,GL,1689961275
189,Goroka,-6.0834,145.3873,289.18,98,86,0.81,PG,1689961289
190,Ayorou,14.7308,0.9174,307.33,40,100,2.75,NE,1689961289
191,Yellowknife,62.456,-114.3525,297.44,46,100,3.6,CA,1689961273
192,Bethel,41.3712,-73.414,301.2,64,75,6.17,US,1689961271
193,Mejit,10.2753,170.8646,301.35,77,97,8.78,MH,1689961289
194,Port-Aux-Francais,-49.35,70.2167,273.61,61,94,17.75,TF,1689961178
195,Selfoss,63.9331,-20.9971,287.62,75,80,5.02,IS,1689961290
196,Aykhal,66.0,111.5,288.37,88,41,4.8,RU,1689961281
197,Margaret River,-33.95,115.0667,286.67,66,2,2.05,AU,1689961770
198,Dudinka,69.4058,86.1778,294.05,66,100,4.3,RU,1689961284
199,Remire-Montjoly,4.9167,-52.2667,300.17,83,100,2.57,GF,1689961091
200,Mount Pearl,47.5166,-52.7813,301.11,63,20,7.72,CA,1689961291
201,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
202,Xiangtan,27.85,112.9,304.33,84,50,2.03,CN,1689961272
203,Holualoa,19.6228,-155.9522,299.19,89,100,1.79,US,1689961291
204,Chernyshevskiy,63.0128,112.4714,288.06,72,85,0.65,RU,1689961291
205,Mahanoro,-19.9,48.8,293.22,89,38,2.61,MG,1689961291
206,Bubaque,11.2833,-15.8333,301.86,78,81,5.23,GW,1689961291
207,Alice Springs,-23.7,133.8833,276.9,87,0,2.06,AU,1689961292
208,Tamanrasset,22.785,5.5228,306.1,11,0,3.6,DZ,1689961292
209,Sinabang,2.4803,96.3801,298.84,86,62,1.24,ID,1689961292
210,Papatowai,-46.5619,169.4708,278.58,76,6,6.17,NZ,1689961559
211,Palikir - National Government Center,6.9248,158.1611,300.53,80,98,7.97,FM,1689961292
212,Blackmans Bay,-43.0167,147.3167,280.11,88,34,2.9,AU,1689961279
213,Ilulissat,69.2167,-51.1,279.16,93,75,2.57,GL,1689961279
214,Invercargill,-46.4,168.35,273.16,99,11,0.89,NZ,1689961557
215,Pangkalanbuun,-2.6833,111.6167,295.5,99,46,1.25,ID,1689961293
216,Usinsk,65.9939,57.5281,291.64,77,58,2.56,RU,1689961293
217,Blackmans Bay,-43.0167,147.3167,280.11,88,34,2.9,AU,1689961279
218,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
219,Ar Rahad,12.7167,30.65,296.96,71,95,10.26,SD,1689961293
220,Puerto Natales,-51.7236,-72.4875,272.06,96,100,1.9,CL,1689961660
221,Albany,42.6001,-73.9662,299.39,79,49,2.38,US,1689961084
222,Iqaluit,63.7506,-68.5145,280.0,87,75,3.6,CA,1689961284
223,Waitangi,-43.9535,-176.5597,284.16,95,100,4.02,NZ,1689961769
224,Howrah,22.5892,88.3103,302.15,89,75,4.12,IN,1689961294
225,Grytviken,-54.2811,-36.5092,274.46,98,100,5.56,GS,1689961270
226,Zonguldak,41.25,31.8333,291.95,72,0,0.91,TR,1689961294
227,Yellowknife,62.456,-114.3525,297.44,46,100,3.6,CA,1689961273
